term	content
사이버리스크	정보통신기술의 발달로 기업경영활동에서 디지털화가 가속화되고 상호 연결이 확대되어 감에 따라 전자상거래나 정보통신기술을 이용하여 이루어지는 활동 중 사이버 상에서 발생하는 예기치 못한 사고로 인해 기업이 부담하게 될 유·무형의 비용이 증가하는 위험을 말한다.
사전담보제	사전담보제(collateral requirements)는 지급결제시스템의 참가자로 하여금 시스템 전체에 대한 순채무를 결제하기에 충분한 담보를 사전에 제공토록 하여 결제불이행이 실제로 발생하였을 때 결제불이행 기관의 담보를 처분하여 결제의 종료를 보장하는 방법이다.
사전적 정책방향 제시(forward guidance)	사전적 정책방향 제시는 향후 통화정책 방향에 대해 중앙은행이 명시적으로 시그널을 전달하는 것으로 새로운 정책은 아니다.
4차 산업혁명	4차 산업혁명(4IR; Fourth Industrial Revolution)은 18세기 초 산업혁명 이후 진행되어 온 4차 주요 산업시대로서, 2010년대부터 물리적, 디지털 및 생물학적 세계가 융합되어 모든 학문 경제 산업 등에 전반적으로 충격을 주게 된 새로운 기술영역의 등장을 뜻한다.
사회보장제도	사회보장제도는 사회 불평등 현상을 해결하기 위해 도입된 것으로 개인이 어떠한 불행을 당하더라도 국가가 최소한의 인간다운 생활을 보장할 수 있도록 하는 제도이며 사회보험과 공공부조, 사회복지서비스가 대표적이다.
사회보험	사회보험(social insurance)이란 국민에게 발생 가능한 각종 사회적 위험에 보험방식을 통해 대처함으로써 국민의 생활, 건강, 소득 등을 보장하려는 제도를 가리킨다.
산업연관표(I/O Tables)	일정기간(보통1년) 동안 국민경제 내에서 발생하는 재화와 서비스의 생산 및 처분과 관련된 모든 거래내역을 일정한 원칙과 형식에 따라 기록한 종합적인 통계표이다.
삼불원칙	환율제도는 고정환율제도와 자유변동환율제도를 양 극단으로 하여 이를 절충하는 다양한 형태로 분류할 수 있다.
상계관세	상계관세(countervailing duties)는 수출국이 수출기업에 보조금이나 장려금을 지급하여 지나치게 낮은 가격을 책정할 경우 수입국이 이로 인한 경쟁력 저하를 상쇄하기 위해 부과하는 것을 말한다.
상대적 빈곤율	상대적 빈곤율은 세금과 이전소득을 모두 감안한 처분가능소득이 중위소득(소득이 많은 순서대로 세웠을 때 정확히 중간인 사람의 소득)의 50%를 밑도는 계층이 전체 인구에서 차지하는 비율을 말한다.
상시감시제도/상시감시전담데스크	상시감시는 감독당국이 평상 시 은행의 영업실적 및 재무상태에 관한 보고서를 징구, 분석하는 등 전반적인 은행의 경영상황을 파악하기 위한 감독수단의 하나이다.
상장지수펀드(ETF)	주식, 채권, 통화, 원자재 등의 가격지수를 추종하는 것이 목표인 인덱스펀드의 지분을 거래소에 상장하여 일반주식처럼 거래토록 한 금융상품이다.
상품공동기금(CFC)	1989년 7월 설립된 상품공동기금(CFC; Common Fund for Commodities)은 1차산품의 수급 안정을 위한 국제협력 증진과 국제상품협정 체결 촉진 및 기능 활성화를 목적으로 하고 있다.
상품수지	거주자와 비거주자 간의 상품 수출입 거래를 계상한 것으로, 경상수지의 한 부분이다.
생산세	현재 국민계정 작성기준인 국민계정체계(SNA)에서는 조세를 크게 종전 간접세에 해당하는 생산세(taxes on production)와 소득 부 등에 대한 경상세, 자본세로 분류하고 있다.
생산유발효과	한 나라에서 각 산업의 생산활동은 소비, 투자, 수출 등 최종수요의 크기에 따라 결정되는데, 최종수요의 변화가 생산에 미치는 영향을 생산유발효과라 한다.
생산자물가지수(PPI)	국내시장의 제1차 거래단계에서 기업 상호 간에 거래되는 상품과 서비스의 평균적인 가격변동을 측정하기 위하여 작성되는 물가지수로서 그 대상품목의 포괄범위가 넓어 전반적인 상품과 서비스의 수급 동향이 반영된 일반적인 물가수준의 변동을 측정할 수 있기 때문에 일반목적지수로서의 성격을 갖는다.
생산자제품재고지수	현실 경제에서는 경기의 좋고 나쁨에 따라 재고의 증가 또는 감소 현상이 필연적으로 나타나게 마련이다.
생산자제품출하지수/생산자출하지수	생산자제품출하지수는 생산자의 판매활동과 광업, 제조업, 전기 가스업 및 수도사업 제품의 출하 동향을 나타내는 지표이다.
생활물가지수	생활물가지수(CPI for living necessaries)는 체감물가를 파악하기 위해 일상생활에서 구입 빈도가 높고 지출비중이 높아 가격변동을 민감하게 느끼는 생활필수품을 대상으로 작성한 소비자물가지수의 보조지표이다.
서비스수지	국제수지표에서 서비스수지란 외국과의 서비스거래 결과 벌어들인 돈과 지급한 돈의 차이를 말한다.
서킷브레이커	과열된 전기회로를 차단하는 안전장치에서 유래된 용어로 주식시장에서 주가의 급등락 시 주식거래를 일시 정지시켜 시장에 미치는 충격을 완화하기 위해 도입된 제도이다.
선물거래	선물거래(futures transactions)란 공인된 거래소에서 품질, 규격 등이 표준화된 상품의 매매계약을 체결하고 일정 기간이 경과한 후에 상품의 인수도와 결제가 이루어지는 거래로서 매매계약의 성립과 동시에 상품의 인수도와 결제가 이루어지는 현물거래와 구분된다.
선물환거래	선물환거래란 계약일로부터 통상 2영업일 경과 후 특정일에 외환의 인수도와 결제가 이루어지는 거래를 말한다.
선불카드/선불전자지급수단	선불형카드는 이용고객이 전자적 또는 자기적 방법으로 일정금액을 저장한 카드를 카드발행자로부터 구입하여 상품구매 또는 서비스 이용 시마다 대금이 자동으로 차감 지급되도록 한 카드로서 사용범위에 따라 범용 선불형카드와 단일목적 선불형카드로 구분된다.
선행종합지수	개별 경제지표로는 파악하기 어려운 국민경제의 총체적인 경기수준을 파악하기 위하여 경기종합지수를 작성한다.
성장기여도	성장기여도는 특정 경제부문(예: 산업 X)이 전체 경제성장(예: ΣX, 산업 X, … 1 n 1 산업 X,)에 어느 정도 기여했는가를 보여주는 지표로 구체적으로는 아래 산식에 의해서 n 산출된다.
세계경제포럼(다보스포럼)	저명한 기업인, 경제학자, 언론인, 정치인들이 모여 세계 경제를 개선하기 위한 과제를 토론하고 연구하는 회의체이다.
세계무역기구(WTO)	국제무역 확대, 회원국간의 통상분쟁 해결, 세계교역 및 새로운 통상 논점에 관한 연구를 위하여 설립된 국제기구로서 본부는 스위스 제네바에 있다.
세계은행(World Bank)	세계은행그룹(World Bank Group)을 구성하는 기구 중에서 국제부흥개발은행(IBRD) 과 국제개발협회(IDA)를 합쳐서 부르는 명칭이다.
소득5분위배율	소득분배의 불평등도를 나타내는 지표의 하나로 전체 가구를 소득수준의 순서에 따라 20%씩 5등분으로 나눈 다음, 소득 상위 20%(5분위) 계층의 평균소득을 소득 하위 20%(1분위) 계층의 평균소득으로 나눈 값이다. 소득 5분위 배율 값이 커질수록 고소득층과 저소득층 간의 소득분배가 악화하였음을 의미한다.
소득교역조건/소득교역조건지수	소득교역조건지수는 순상품교역조건에 수출물량지수를 곱하여 {(수출단가지수/수입단가지수)×수출물량지수} 산출하는 것으로서 수출 금액으로 수입을 늘릴 수 있는 능력을 측정하는 지표이다. 소득교역조건지수가 상승하였다면 금기의 수출총액으로 수입할 수 있는 능력(수량)이 좋아졌다는 것을 의미한다.
소득주도성장	소득주도성장(income-led growth)을 주장하는 학자들은 소득분배를 간과해 온 기존의 경제모델을 비판하면서 소득의 형평성이 경제의 성장과 안정성에 긴요하다는 점을 중시한다.
소비의 비가역성	소비행태를 설명하는 상대소득가설은 소비가 현재소득 이외에도 과거의 최고 소득수준 또는 타인의 소비수준과 같은 상대적인 요인에 의해서도 영향을 받을 수 있다는 가능성을 고려한다.
소비자동향지수(CSI)	소비자의 경기나 생활형편 등에 대한 주관적인 판단과 전망, 미래의 소비지출계획 등을 설문조사를 통해 지수화한 것으로, 기업들의 경제를 보는 시각이 반영된 기업경기실사지수(BSI; Business Survey Index)와 함께 대표적인 경제심리지수 중 하나이다.
소비자물가지수(CPI)	일반 가구가 소비생활을 유지하기 위하여 구입하는 각종 상품과 서비스의 가격변동을 종합적으로 파악하기 위하여 작성되는 물가지표이다.
소비자심리지수	소비자를 대상으로 경기에 대한 판단이나 전망 등을 조사하여 지수화한 경제심리지표를 말한다.
소액결제시스템	소액결제시스템(retail payment system)은 주로 기업이나 개인의 소액거래를 처리하는 자금결제시스템으로서 주로 계좌이체나 지급카드, 수표, 지로 등과 관련된 결제가 소액결제시스템으로 처리된다.
속물효과(스놉효과)	개성을 추구하는 사람들은 단지 다른 사람들이 많이 구입한다는 이유만으로 특정 물품을 구입하지 않거나 심지어 자신의 옷과 똑같은 옷을 입은 사람을 보면 그 옷을 더 이상 입지 않는다.
수요견인 인플레이션	수요견인 인플레이션(demand-pull inflation)이란 경기과열 등으로 인해 개인들의 재화나 서비스에 대한 수요가 크게 늘면서 상대적으로 부족해진 재화 및 서비스의 물가가 지속적으로 상승하게 되는 것을 말한다.
수요탄력성	상품의 가격 변화비율에 대한 수요량의 변화비율을 수요의 가격탄력성(price elasticity of demand)이라 한다.
수입유발계수	최종수요가 한 단위 증가할 때 각 산업부문에서 직 간접으로 유발되는 수입액 단위를 말하는 것으로 형태에 따라 산업별 수입유발계수와 최종수요항목별 수입유발계수로 나뉜다. 산업별 수입유발계수는 수입투입계수표에 생산유발계수표를 곱하여 구하고 최종수요 항목별 수입유발계수는 소비, 투자, 수출 등 항목별 최종수요에 의한 수입유발액을 최종수요액으로 나누어 산출한다.
수입징수관/지출관	국고금의 수입과 지출은 일정한 요식행위인 국가기관의 명령행위에 의하여 이루어지는데, 이러한 국고금의 수입과 지출행위를 결정(명령)하는 국가회계기관은 국고금의 종류에 따라 다양하나 크게 수입을 담당하는 수입징수관과 지출을 담당하는 지출관으로 구분한다.
수출경합도지수	특정 국가(Z)에 상품을 수출하는 두 국가(X와 Y)의 수출구조가 비슷할수록 경쟁도가 커진다는 가정 하에서 이들 국가가 Z국 시장에서 직면하는 경쟁의 정도를 측정하는 지표이다.
수출보험	상품수출 시 수출업자가 수입업자의 신용위험, 수입국의 정치상황 등으로 수출대금을 회수하지 못할 위험으로부터 수출업자를 보호하기 위한 보험이다.
수출입물가지수	2022년 7 월 기준으로 조사대상품목이 수출물가지수는 212개, 수입물가지수는 234개이며, 조사되는 가격기준은 수출 FOB, 수입 CIF를 원칙으로 하고 있다.
수출입물량지수	무역지수 중 수출입물량의 변동을 나타내 주는 것으로 수출입금액지수를 수출입물가지수로 나누어 사후적으로 산출되는데 이러한 방식으로 산출되는 것은 수출입금액이 단가 요인과 물량요인의 합과 일치한다는 점에서 타당성을 가진다고 할 수 있다.
수쿠크	수쿠크(sukuk)란 샤리아(Sharia) 율법을 지키기 위해 투자자들에게 이자수익 대신 배당금 혹은 리스료 형태로 수익을 배분하는 채권을 말한다.
수확체감의 법칙	어떤 생산물을 만드는 데 필요한 자본 노동 토지 등의 생산요소 가운데 자본과 토지는 일정하게 유지하고 노동의 투입량을 증가시킬 경우, 생산물 전체는 증가하지만 추가로 투입되는 노동량 1단위당 생산물의 증가는 차차 감소한다는 법칙이다.
순상품교역조건	순상품교역조건이란 수출 1단위로 수입할 수 있는 상품의 수량을 나타내며, 무역지수 통계에서 작성된 수출가격지수를 수입가격지수로 나누어 산출한다.
순안정자금조달비율	2008년 글로벌 금융위기 시 신용경색으로 금융시장 기능이 마비되면서 자금조달이나 만기연장이 어려워짐에 따라 많은 은행들이 만기불일치 등에 따른 유동성 위기를 경험하였고 이는 금융시스템 전체의 유동성 경색을 유발하였다.
순이자마진(NIM)	은행의 모든 금리부자산의 운용결과로 발생한 은행의 운용자금 한 단위당 이자순수익(운용수익률)을 나타내는 개념이다. 이는 이자자산순수익(이자수익자산 운용수익 이자비용부채 조달비용)을 이자수익자산의 평잔으로 나누어 계산하는 은행의 핵심 수익성 지표이다.
순이체한도제	순이체한도제(net debit caps)는 금융결제원의 차액결제시스템에 참가하고 있는 각 참가기관으로 하여금 여타 참가기관과의 CD, 타행환 거래 등에서 발생하는 순이체액(지급지시송신액 - 지급지시수신액)에 대하여 그 상한을 설정토록 함으로써 결제불이행 사태의 발생 가능성 및 불이행 규모를 최소화하도록 한 제도이다.
숨은 그림(은화)	은행권의 위조방지를 위한 장치의 하나로 은행권용지를 빛에 비췄을 때 여백에 숨겨진 문양이 나타나도록 하는 장치를 말한다.
슈퍼301조	미국의 통상법 301조를 이르는 것으로 이에 따라 관련 당국은 불공정무역 관행에 해당되는 사안을 대상으로 상대국에 대해 시정 요구와 보복 조치를 할 수 있다.
스마트계약	스마트계약(smart contract)은 블록체인을 이용하여 일정 조건이 만족되면 자동으로 거래가 실행되도록 작성된 컴퓨터 프로토콜 또는 코드를 뜻한다.
스무딩오퍼레이션	우리나라는 자유변동환율제도를 채택하고 있어서 환율이 원칙적으로 외환시장에서 자율적으로 결정되도록 하고 있으나, 일시적인 수급불균형이나 시장 불안심리 등으로 환율이 급변동하는 경우에 한해 외환당국이 외환시장에 개입하여 환율변동 속도를 조절하게 되는데 이를 스무딩오퍼레이션(smoothing operation)이라 한다.
스왑	거래 쌍방이 미리 정한 계약조건에 따라 현재시점에서 원금, 이자 등을 서로 교환하기로 하고 일정 기간 동안 주기적으로 원금이나 이자지급 등 현금흐름(cash flow)을 서로 교환하는 거래를 말한다.
스왑레이트	외환스왑시장의 가격변수인 스왑레이트(swap rate)는 현물환율 대비 선물환율과 현물환율의 차이(=(선물환율-현물환율)/현물환율)를 연율(%)로 표시한 것으로 이론적으로는 양 통화 간 금리차와 일치(covered interest rate parity)하게 된다.
스태그플레이션	제2차 세계대전 이전까지 경기침체기에는 물가가 하락하고 경기호황기에는 물가가 상승하는 것이 일반적 현상이었다.
스탠더드 & 푸어스	무디스, 피치와 함께 세계 3대 국제신용평가기관으로 불리는 미국의 신용평가회사로서 1860년 Henry Varnum Poor가 설립한 Poor's라는 투자정보서비스 회사와 1916 년 설립된 Standard의 두 회사가 1942년 합병하여 Standard & poor's로 출범하였다.
스톡옵션	스톡옵션(stock option)이란 파생상품의 옵션과 같이 일정한 권리 조건이 충족되면 소유주가 권리를 행사할 수 있는 옵션을 말한다.
스트레스 테스트(위기상황분석)	예외적이지만 발생가능한(extreme but plausible) 위기 상황을 상정하여 개별 금융기 관, 금융부문 및 금융시스템 전체의 취약성과 복원력을 평가하는 기법을 의미한다.
시뇨리지	시뇨리지(seigniorage)란 화폐에 대한 독점적 발권력을 갖는 중앙은행이나 국가가 화폐발행을 통해 획득하는 이득을 의미한다.
시스템 리스크	금융시스템 일부 또는 전부의 장애로 금융 기능이 정상적으로 수행되지 못함에 따라 실물경제에 심각한 부정적 파급효과를 미칠 수 있는 위험을 의미한다.
시스템적으로 중요한 금융기관	규모가 크고 금융시스템 내 상호연계성이 높아 부실화 또는 도산 시 금융시스템에 광범위하고 중대한 영향을 미칠 수 있는 은행, 보험사 및 여타 금융기관을 의미한다.
시장리스크	금융시장의 금리, 주가, 환율 등의 변동으로 은행이 단기매매를 위해 트레이딩계정(trading book)에 보유한 금융상품의 가격이 하락하여 손실이 발생할 가능성을 의미한 다.
시장평균환율제도	우리나라가 1990년 3월 국내 외환시장의 활성화와 자본 및 금융의 국제화를 촉진시키기 위한 환율제도의 단계적 개편방안의 일환으로 도입한 제도로서, 1997년 외환위기 이전까지 시행되었다.
신용경색	금융기관 등에서 돈의 공급이 원활히 이루어지지 않아 어려움을 겪는 현상을 의미한 다.
신용레버리지	신용레버리지란 레버리지효과를 거두기 위해 경제주체가 활용하고 있는 신용의 정도를 의미한다.
신용스프레드	신용스프레드란 특정 채권의 신용위험이 어느 정도인지를 보여주는 지표로서 동일만기 무위험 채권인 국고채 금리와 해당 채권 금리의 차이로 나타난다.
신용연계증권(CLN)	신용연계증권(Credit Linked Notes)은 지급보증계약과 유사한 신용파산스왑(CDS) 을 증권화한 형태이다.
신용위험(신용리스크)	채권 채무관계에서 채무자의 채무불이행, 이행거부 또는 신용도 하락 등으로 인해 손실이 발생할 가능성을 의미한다.
신용창조	신용창조(credit creation)는 일반적으로 은행이 예금과 대출업무를 반복적으로 취급하는 과정에서 예금통화를 만들어내는 현상을 말한다.
신용파생상품	신용파생상품(credit derivative)이란 채권, 대출금 등과 같이 차입자 또는 발행자의 신용에 따라 가치가 변동하는 기초자산(underlying asset)의 신용위험(credit risk) 을 분리하여 이를 다른 거래상대방에게 이전하고 그 대가로 프리미엄(수수료)을 지급하는 금융상품을 말한다.
신용평가제도	넓은 의미에서 신용평가란 자금을 빌리는 차입자, 즉 가계 기업 등의 부채 상환능력이나 신용도를 일정한 등급으로 평가하는 것을 말한다.
신용환산율	BIS 자기자본비율 계산시 난내자산의 경우 익스포저에 거래상대방의 신용위험도에 따른 위험가중치를 곱하여 위험가중자산(risk-weighted assets)을 산출하게 된다.
신 재생에너지	매장량이 한정되어 있는 기존의 화석연료(석유, 석탄, 천연가스 등)와 우라늄을 대체할 수 있는 에너지를 지칭하는 것으로, 새로운 기술을 활용한 에너지 또는 재생 가능한(renewable) 에너지를 포함한다.
신주인수권부사채(BW)	신주인수권부사채(Bond with Warrant)는 채권을 발행한 회사가 주식을 발행할 경우 투자자가 미리 약정된 가격에 일정한 수량의 신주(新株)를 인수할 수 있는 권리인 워런트(Warrant)가 결합된 회사채를 말한다.
신흥시장국채권지수(EMBI+)	미국 유럽 일본 등 신용등급이 높은 국가들이 발행한 채권에 주로 투자하는 펀드를 글로벌채권펀드, BRICs 등 신흥시장 국가들이 발행한 채권에 주로 투자하는 펀드를 신흥시장국채권펀드라고 하는데, 양자 간 투자위험도의 차이 때문에 통상 후자의 금리(투자수익률)는 전자의 금리보다 높다.
실망실업자	구직단념자라고도 하며, 비경제활동인구 중 잠재구직자의 일부분이며 취업 희망과 취업 가능성 기준 외에도 노동시장적 사유로 지난 4주간 구직활동을 하지 않는 자 중 지난 1년 내 구직 경험이 있는 사람을 의미한다.
실물화폐/명목화폐	고유의 사용가치 및 교환가치를 가지고 화폐의 기능을 수행하는 물건을 실물화폐라고 한다.
실업률	고용상황을 파악하고자 할 경우에는 전체 인구보다는 경제적으로 생산활동이 가능한 인구가 더욱 중요한 의미를 가진다.
실업률갭	실업률갭은 노동시장의 여력(slack)을 평가할 수 있는 유용한 지표로, 잠재GDP와 실제GDP의 차이인 GDP갭과 함께 경기수준 또는 경제 전반의 유휴자원을 파악할 때 유용하다.
실질임금	근로자가 노동의 대가로 받는 임금을 현재의 화폐단위로 표시한 것을 명목임금이라고 하는데 이러한 명목임금으로 재화와 서비스를 실제 구입할 수 있는 수량 즉, 구매력을 측정하기 위해 명목임금을 소비자물가지수로 나눈 것을 실질임금이라고 한다. 물가상승률이 명목상승률보다 더 높으면 실질임금은 오히려 줄어들어 실제 구매력은 감소하게 된다.
실효환율	환율은 양 통화 간의 교환비율이기 때문에 주요 교역상대국 통화 전체에 대한 자국 통화 가치의 변동을 파악하는 데에는 부적절한 측면이 있다.
아세안+3 거시경제조사기구(AMRO)	아세안(ASEAN) 10개국, 한국, 중국 및 일본이 치앙마이 이니셔티브 다자화 협정(CMIM; Chiang Mai Initiative Multilateralization)의 효과적인 운영을 지원하기 위하여 2011년에 설립한 기구로서 싱가포르에 본부를 두고 있다.
아시아개발은행(ADB)	아시아 태평양지역의 경제성장 및 경제협력 촉진과 역내 개도국의 경제개발 지원을 목적으로 1966년 8월 설립된 국제금융기구로서 필리핀 마닐라에 본부를 두고 있다.
아시아인프라은행(AIIB)	아시아 국가들의 사회간접자본 구축을 지원하기 위해 설립된 국제금융기구이다.
아시아태평양경제협력체(APEC)	아시아 및 태평양 연안 국가 간의 경제협력을 목표로 설립된 국제기구로서 1989 년 11월 호주 캔버라에서 개최된 제1차 각료회의를 통하여 공식 출범하였다.
애그플레이션	농업이라는 뜻의 Agriculture와 인플레이션(inflation)의 합성어로 농산물 가격의 급격한 상승이 일반 물가의 상승을 일으키는 현상을 말한다.
양도성예금증서(CD)	양도성예금증서(CD; negotiable Certificate of Deposit)는 은행의 정기예금증서에 양도성을 부여한 것이다.
양적완화정책	이러한 양적완화정책은 2001년 3월 일본은행이 제로금 리 하에서 일본은행 당좌예금잔액을 확대하는 정책을 도입하면서 처음으로 사용되었다.
어음관리계좌(CMA)	어음관리계좌(CMA; Cash Management Account)는 고객이 맡긴 자금을 어음이나 우량채권 등에 운용하여 그 수익을 고객에게 돌려주는 대표적인 단기금융상품이다.
어음교환	어음교환이란 다수의 은행이 일정한 시간에 특정 장소에 모여 자행이 수납한 어음(수표 및 제 증서 포함) 중 다른 은행을 지급지로 하는 어음과 다른 은행이 수납한 어음 중 자행을 지급지로 하는 어음을 서로 교환하고, 이에 따른 대금을 결제하는 것을 말하며 어음교환이 이루어지는 장소를 어음교환소라 한다.
업무지속계획	각종 재해나 비상사태의 발생 시에도 조직의 업무나 대고객서비스가 중단 없이 지속될 수 있도록 하거나 업무 중단에 대한 신속한 대응 및 복구를 목표로 하는 일련의 대책을 의미한다.
에너지바우처제도	정부가 특정 요건을 충족하는 국민에게 전기, 도시가스, 지역난방, 등유, LPG, 연탄 등에 대한 일정액의 구매권(바우처)을 제공하고 이들 국민이 바우처를 이용하여 스스로 에너지를 구매하도록 허용하는 제도를 말한다.
엥겔의 법칙	엥겔의 법칙은 독일의 통계학자 엥겔이 벨기에 노동자의 가계조사를 통해 발견하였다.
여신심사 가이드라인	금융감독당국이 특정 분야에 과도하게 자금을 지원하지 않도록 금융기관에게 대출 취급 시 지키도록 권고하는 지침으로, 주택경기 과열 양상과 투기수요가 늘어나면서 가계부채가 급증하는 모습을 보이자 부동산시장에 유입되는 자금의 제한을 통해 투기수요를 잠재우고 가계부채의 증가를 억제하기 위한 취지에서 도입한 것이다.
여신전문금융회사	은행과 같은 예금 수신기능 없이 여신업무만을 수행하는 금융회사를 의미한다.
역모기지론	역모기지론(reverse mortgage loan)은 주택을 소유하고 있으나 자체수입이 부족한 고령자가 보유주택을 담보로 소유자 및 배우자의 사망 시까지 노후생활에 필요한 자금을 연금 형태로 받아 안정된 주거생활을 확보하는 제도이다.
역선택	역선택(adverse selection)이란 정보의 비대칭이 있을 때 즉, 거래의 당사자 중 정보가 한쪽에만 있는 상황에서, 정보가 없는 쪽은 바람직하지 못한 상대방과 거래할 가능성이 큰 것을 의미한다.
역외금융	역외금융(offshore banking)이란 금융기관이 비거주자인 자금공여자로부터 외화자금 을 조달하여 비거주자를 상대로 외화자금을 운영하는 일련의 금융을 말한다.
역외펀드	펀드는 근거법률에 따라 역외펀드(off-shore fund)와 역내펀드(on-shore fund)로 구분되는데 역외펀드는 외국의 법률에 의하여 외국에서 설정, 설립된 것으로 외국펀드라고도 한다.
연방준비제도(FRS)/연방준비은행(FRB)	연방준비제도(FRS; Federal Reserve System)는 1907년 금융공황 후 그 대책으로서 1913년에 제정된 연방준비법(Federal Reserve Act)에 의해서 창설된 미국 특유의 중앙은 행제도이다.
연불수출	무역대금은 약정된 물품이 선적되거나 또는 수입지에 도착하면 결제 받는 것이 일반적이다. 그런데 그 물품대금의 전액 또는 일부를 후불로 지급받는 조건으로 수출하는 경우가 있는데 이를 연불수출이라 한다. 연불수출은 플랜트 등 대규모 시설재의 수출 시에 주로 채택되고 있다. 영업잉여
연쇄가중법	현재 우리나라를 비롯한 주요 선진국의 실질GDP 추계에 이용하는 물량지수 작성방법이다.
연지급수입	수입대금의 전액 또는 일부를 물품 또는 선적서류 영수일로부터 일정 기간이 지난 후에 지급하는 조건의 수입을 말한다. 구매자는 영수한 수입물품을 매각하고 그 대금으로 수입대금을 결제할 수 있으므로 물품대금지급에 대한 부담을 줄일 수 있다.
영업잉여	한 나라 국민이 생산활동에 참여한 결과 발생한 소득은 노동, 자본, 경영 등의 생산요소를 제공한 경제주체에게 나누어진다. 이 중에서 노동을 제공한 대가로 가계에 분배되는 것을 급여 즉 피용자보수라고 하고, 생산활동을 주관한 생산주체의 몫을 영업잉여(operating surplus)라고 한다.
영향력계수	후방연쇄효과 참조 (335쪽)
예금보험제도	예금보험은 금융기관의 예금지급 정지, 파산 등으로 해당 금융기관이 기존 예금자의 예금인출요구에 응할 수 없는 경우 예금보험기관이 당해 금융기관을 대신하여 예금을 지급함으로써 예금자를 보호하고, 대규모 예금인출사태(뱅크런)를 방지하여 금융안정을 유지하도록 하는 공적보험이다.
예대금리차(예대마진)	예대금리차(예대마진)는 자금중개기관인 은행이 자금차입자로부터 수취하는 대출금 리와 예금자에게 지급하는 예금금리간의 격차로서 은행수익의 본질적 원천이 된다.
예대율	예대율이란 예금을 대출의 재원으로 보고 원화예수금(CD 제외) 가운데 원화대출금이 차지하는 비율(원화대출금/원화예수금)을 말한다.
예상손실	예상손실은 현재 시점부터 일정 기간 동안 발생할 것으로 예상되는 손실의 평균금액을 의미하며 일반적으로 자산별로 발생 가능한 손실액에 발생 확률을 곱하여 산출한다.
예약자금이체제도	실시간 총액결제시스템에서는 금융기관의 자금이체 지급지시가 접수되는 즉시 처리되는 것을 원칙으로 하나, 미래의 특정시점에서 자금결제가 이루어지도록 시스템이 금융기관으로부터 미리 자금이체신청을 받아 두었다가 결제시점이 도래하면 자동으로 결제하도록 하는 제도를 예약자금이체제도라 한다.
옵션	옵션(option)이란 거래당사자들이 미리 정한 가격(행사가격, strike price)으로 장래의 특정시점 또는 그 이전에 일정자산을 팔거나 살 수 있는 권리를 매매하는 계약을 말한다.
와타나베 부인	일본에서 낮은 금리로 엔화를 빌려 외화로 환전한 뒤 해외의 고금리 자산에 투자(일종의 yen carry trade)하는 일본의 중상층 주부 투자자들을 와타나베(Watanabe) 부인이라고 하는데 일본의 개인 외환투자자들을 통칭하는 용어로 확장하여 사용하기도 한다.
완충자본	바젤Ⅲ는 ① 손실흡수력 제고를 위한 자본보전완충자본과 ② 경기순응성 완화를 위한 경기대응완충자본을 도입하였다.
외국환거래법	우리나라는 경제개발 초기에 외화자금이 크게 부족하였고 이에 대응해 국가 차원에서 외화자금을 효율적으로 조달, 운용하기 위해 기업 등의 외환거래를 매우 엄격하게 규제하는 외국환관리법을 시행하였다.
외국환업무취급기관/외국환은행	외국환업무를 업으로 영위하기 위하여 재무건전성, 외환업무시설 및 전문인력을 갖추어 기획재정부장관에게 등록한 금융기관을 “외국환 업무취급기관”이라고 한다.
외국환평형기금	자국 통화가치의 안정을 도모하고 투기적인 외화 유출입에 따른 외환시장의 혼란을 방지할 목적으로 정부가 외환시장에 개입하는 데 사용하기 위하여 조성한 기금을 말한다.
외국환포지션	외국환포지션은 일정시점에서 외국환은행 및 기업 등이 보유하고 있는 외화표시자산과 부채의 차액으로서 거래주체가 환리스크에 노출된 정도를 나타낸다.
외국환포지션한도	외국환은행의 외화자산과 부채가 일치하지 않을 경우 환율변동 위험에 노출되어 이에 따른 손익이 발생한다.
외부자금	기업은 투자나 운영자금을 기업내부 또는 기업외부에서 조달하는데 금융기관 차입금, 사채발행 등 기업외부에서 조달된 자금을 외부자금이라 한다.
외부효과	어떤 경제주체의 행위가 본인의 의도와는 관계없이 다른 경제주체에게 의도하지 않은 혜택이나 손해를 발생 시키지만 그 영향에 대한 보상이 이루어지지 않는 현상을 말한다.
외채/대외채권	국제통화기금(IMF)의 외채통계 작성 및 이용 지침에 따르면 외채(external debt) 는 “한나라의 거주자가 비거주자에게 미래 특정 시점에 원금이나 이자 또는 원금 및 이자를 지급해야 하는 우발적이 아닌, 현재에 확정된 채무의 잔액”으로 정의하고 있다.
외화가득액/외화가득율	특정 상품의 수출액에서 그 상품 제조를 위한 원자재 수입액을 차감한 잔액을 외화가득액이라 하고, 외화가득액의 수출액에 대한 비율을 외화가득률이라고 한다.
외화자금시장	외환시장이 이종통화 간 매매가 수반되고 환율이 매개변수가 되는 시장을 의미하는 반면 외화자금시장은 금리를 매개변수로 하여 외환의 대출과 차입이 이루어지는 시장을 말한다.
외환건전성부담금제도	동아시아 외환위기, 글로벌금융위기 등 우리나라가 겪었던 금융위기는 호황기에는 자본이 과도하게 유입되고 불황기에는 급격히 유출되는 자본유출입의 변동성에 주로 기인하였다.
